,user_id,place_id,quote_id,coordinates,text,created_at,favorite_count,retweet_count,quote_count,reply_count
1338608164183429131,16379909,7c6845d4f5897da3,1338074061738545156,,"Last sign in this: “No Science, No Shutdown” Probably both anti-mask &amp; anti-vaccine. These “No Science” knuckleheads will do a good job proving Darwin was right. #WearAMask #VaccinesSaveLives",Mon Dec 14 22:13:51 +0000 2020,1,0,0,0
1338608371679842305,2941293160,e4a0d228eb6be76b,,,Anybody worried about the virus should get the vaccine. Anybody who isn’t worried about it shouldn’t get the vaccine. Life really is simple when you don’t complicate things and just worry about yourself,Mon Dec 14 22:14:40 +0000 2020,58,20,0,0
1338609203024367616,411627211,e4a0d228eb6be76b,,,Me after my vaccine enjoying a blacked out cig with the homies https://t.co/zasuDXiXeb,Mon Dec 14 22:17:58 +0000 2020,17,0,0,0
1338609357546803201,1186424808663388160,3f5897b87d2bf56c,,,@SenTedCruz sir there should be a resalution but gorwardafter all the Democrats did to block everything trump did to stop this covid virus and even call his warpspeed a waste of time and money. it should be officially named the TRUMP vaccines .!!,Mon Dec 14 22:18:35 +0000 2020,0,0,0,0
1338611087244210176,1146608039442755584,28573a4eb6bb7ae3,,,@HillaryClinton Hillary...will you take the vaccine??,Mon Dec 14 22:25:28 +0000 2020,0,0,0,0
1338611796802985986,3017750721,eae37a5f578d9179,,,@Superberries @janagram80 I wish that the vaccine works,Mon Dec 14 22:28:17 +0000 2020,1,0,0,0
1338612273888288776,826467948701347840,7c3a198212bb6e2a,,,Would you quit your job if the COVID vaccine was mandatory,Mon Dec 14 22:30:10 +0000 2020,0,0,0,0
1338613534763134976,380046445,8b0f876af840af5d,,,"@AJMC_Journal I read your following article.  Should kidney transplant patients get the vaccine?

 Immunosuppressants? Fauci Says Get the COVID-19 Vaccine https://t.co/hGsuloYqyx via",Mon Dec 14 22:35:11 +0000 2020,0,0,0,0
1338614669888643073,1150114685410336768,018d4b863f24a453,,,"same people who i saw smoking cig butts off of 8th ave talking ""yea idk what's in that vaccine i'm not getting it""",Mon Dec 14 22:39:42 +0000 2020,8,0,0,0
1338619614566248448,1186424808663388160,3f5897b87d2bf56c,,,@senatemajldr the Senate should put forward a resolution to formally nameing these covid vaccines the TRUMP vaccines after all the Democrats did everything to block him and calling his operation warp speed a waste of time and money.,Mon Dec 14 22:59:21 +0000 2020,0,0,0,0
1338619950517399552,987001299085463552,dd9c503d6c35364b,1338489859002994689,,Yes indeed - both wt vaccine and Biden Harris official victory - something most sensible Americans knew Nov 4. Great job Scott - don’t miss your show ✌️😎🎩🇺🇸ex Lehman Trader,Mon Dec 14 23:00:41 +0000 2020,1,0,0,0
1338620373676515328,734340875153739777,dd9c503d6c35364b,,,Bella Thorne should receive the vaccine last,Mon Dec 14 23:02:22 +0000 2020,0,0,0,0
1338621386391216128,104009344,dea1eac2d7ef8878,,,"@ThePowerOfTheDM Most ppl gonna be vaccinated and the public areas will be sanitized. I’ll still have on my mask, but it comes out December 2021.",Mon Dec 14 23:06:23 +0000 2020,1,0,0,0
1338622119232606210,3003867376,e4a0d228eb6be76b,,,"(1/2) Today Pennsylvania took a major step forward in #COVID19 response. We administered the first vaccine in the Commonwealth. A lot of folks want to know when they can get vaccinated. Due to limited supplies for now, ... https://t.co/tcCKQckY5e",Mon Dec 14 23:09:18 +0000 2020,0,0,0,0
1338622121342283776,3003867376,e4a0d228eb6be76b,,,"(2/2) ... the #vaccine will be administered first to high priority populations, starting with frontline healthcare workers and residents of long-term care facilities. The entire rollout plan is here: https://t.co/3ingJoS4Ye",Mon Dec 14 23:09:18 +0000 2020,0,0,0,0
1338622276678332417,40369157,92291a71f0bfba69,,,DPH COVID-19 Vaccine Town Hall https://t.co/afZG1Qtp6C via @YouTube,Mon Dec 14 23:09:55 +0000 2020,0,0,0,0
1338622555373129728,3156635202,dd9c503d6c35364b,,,"@LuvMacyIsabella Yep. The same dummies who listened &amp; believed 45 when he told them the virus was a hoax, but he's now telling them he should get credit for the vaccine for the same hoax virus. Yeah. Those dummies.",Mon Dec 14 23:11:02 +0000 2020,1,0,0,0
1338624029478035456,1175137406762307584,74767081120f9b42,,,@djvlad encourage your people to take thy vaccine not mine ✊🏿❤️💚🖤,Mon Dec 14 23:16:53 +0000 2020,0,0,0,0
1338624064387239936,2722646211,3f5897b87d2bf56c,,,"When you are at work on a #COVID19 surge planning call, and your #WorkFromHome husband send you this pic! 🥰 

In other news - even BETTER new - #CovidVaccine has arrived in Delaware!!! 🤗 #deCOVID https://t.co/lmPm49vRXu",Mon Dec 14 23:17:02 +0000 2020,0,0,0,0
1338624083970445317,214342160,d180df6c736539e4,,,Would you rather have the coronavirus vaccine tomorrow or a PS5?,Mon Dec 14 23:17:06 +0000 2020,0,1,0,0
1338624975402651654,52726006,dd9c503d6c35364b,1338490473913135105,,"I think you need an education.  Trump lost November 3rd, 2020. He didn't have anything to do with this Pfizer vaccine. He was buying some off the scientists at pfizer in Germany. Enjoy all your stupid tweets.",Mon Dec 14 23:20:39 +0000 2020,1,0,0,0
1338625155602542596,772469534,dd9c503d6c35364b,,,@RickSantorum sadly you really believe this garbage you are spewing...  you are milquetoast... spineless... and absolutely ignorant about the pandrmic...  The vaccine has been in the works for 2 decades get a life,Mon Dec 14 23:21:22 +0000 2020,0,0,0,0
1338627134265446403,113095679,dd9c503d6c35364b,,,@realDonaldTrump Ty #TrumpVaccine,Mon Dec 14 23:29:13 +0000 2020,0,0,0,0
1338628775282667523,4885687983,dd9c503d6c35364b,,,@TonyBrunoShow Well I can’t say I blame you my question is since I already came up positive and quarantined they told me it could be in my system for the next three month I haven’t heard anything about the vaccine for people that acquired it the virus would it work for people like mes,Mon Dec 14 23:35:45 +0000 2020,1,0,0,0
1338634018267521024,2878095816,dea1eac2d7ef8878,,,@Mike_Pence @WhiteHouse Where two Turkish immigrants in Germany developed the cv19 vaccine!!!,Mon Dec 14 23:56:35 +0000 2020,14,0,0,0
1338635300403351560,1093700774620811264,e4a0d228eb6be76b,,,if you’ve ever eaten at the fake south side burger king do not worry about what’s in the vaccine,Tue Dec 15 00:01:40 +0000 2020,1986,373,0,0
1338637296007045126,822615986834706432,b7d2f2aac00a5feb,,,"While we wait for vaccines to come in cold shippers, we treated our first patient with metastatic lung cancer patient with TIL therapy today! Teamwork makes the dream work 🙌🏻@CooperHealthNJ #PowerofTcells @CooperFdn @CooperSurgery @CooperGME https://t.co/y5yABGv6dr",Tue Dec 15 00:09:36 +0000 2020,0,0,0,0
1338637822627094530,822615986834706432,b7d2f2aac00a5feb,,,"While we wait for vaccines to come in cold shippers, we treated our first patient with metastatic lung cancer with TIL therapy today! Teamwork makes the dream work 🙌🏻@CooperHealthNJ #PowerofTcells @CooperFdn @CooperSurgery @CooperGME https://t.co/ZxlI8F5MTq",Tue Dec 15 00:11:42 +0000 2020,0,0,0,0
1338638271409164289,77923101,dd9c503d6c35364b,,,"@JoeBiden I am hopeful of our future with this vaccine. I hope you televise you getting it along with Obama, Clinton and Bush to show the country there is no fear. I'm looking forward to getting vaccinated as soon as it's available",Tue Dec 15 00:13:29 +0000 2020,0,0,0,0
1338638619695869954,72953001,3f5897b87d2bf56c,,,"@realDonaldTrump Thank you, Pfizer for ignoring him and his Warp Speed. #PresidentDeath",Tue Dec 15 00:14:52 +0000 2020,0,0,0,0
1338638989369241602,3306500491,00117d5c491e00f7,,,"Someone asked me why black people are afraid of the vaccine. I told her to read a history book. 

#VaccineSafety",Tue Dec 15 00:16:20 +0000 2020,0,0,0,0
1338639301798752257,1186424808663388160,3f5897b87d2bf56c,,,@IvankaTrump @realDonaldTrump a resalution should be put firward in the house and senate to formally name these covid vaccines the TRUMP vaccines  !!after the Democrats bocking everything trump dis to stop the virusand there calling operation warpspeed a waste of time and money. Trump wins again!!,Tue Dec 15 00:17:34 +0000 2020,0,0,0,0
1338639721505886208,237947524,e4a0d228eb6be76b,,,Lets see if people turn into zombies after this covid vaccine,Tue Dec 15 00:19:14 +0000 2020,0,0,0,0
1338640063689846786,281818167,04d21accfcdbedfe,,,@realDonaldTrump My question is.. if you already had Covid.. why would you need a vaccine?,Tue Dec 15 00:20:36 +0000 2020,0,0,0,0
1338640112159084546,1788321,37a7f5230e1ecc09,,,"@beaubaldwin Didn’t have to be this way. We could have done a strict stay at home order, frequent testing, stimulus money to the people. Suffer a little at the start but be back to normal around now, especially with vaccines rolling out. Instead we’ll suffer long term.",Tue Dec 15 00:20:48 +0000 2020,1,0,0,0
1338640115061678081,915057516488347650,e4a0d228eb6be76b,,,"I’m happy the vaccines started , but I’m sorry I’m an ICU Nurse and Black and ya wouldn’t have me on National tv getting it first.... NOPE!!! Everyone that had a side effect or issue would blame me ? NOPE !!!",Tue Dec 15 00:20:48 +0000 2020,11,0,0,0
