,place_type,place_country,place_state,place_city,place_name,bb_sw_lon,bb_sw_lat,bb_nw_lon,bb_nw_lat,bb_ne_lon,bb_ne_lat,bb_se_lon,bb_se_lat
9b977bdde8553e88,city,US,PA,Horsham,,-75.168828,40.156907,-75.168828,40.21179,-75.106896,40.21179,-75.106896,40.156907
e4a0d228eb6be76b,city,US,PA,Philadelphia,,-75.280284,39.871811,-75.280284,40.13792,-74.955712,40.13792,-74.955712,39.871811
a906602d22b1ddf0,city,US,PA,Conshohocken,,-75.315394,40.069194,-75.315394,40.087543,-75.289979,40.087543,-75.289979,40.069194
dd9c503d6c35364b,admin,US,Pennsylvania,,,-80.519851,39.719801,-80.519851,42.516072,-74.689517,42.516072,-74.689517,39.719801
8a6609809fa46edc,city,US,NJ,Woodbury,,-75.171276,39.82399,-75.171276,39.855023,-75.135111,39.855023,-75.135111,39.82399
65b4760a2b411e11,admin,US,New Jersey,,,-75.563587,38.788657,-75.563587,41.357424,-73.88506,41.357424,-73.88506,38.788657
00ca00906ca4c6d4,city,US,PA,Bensalem,,-74.994551,40.048711,-74.994551,40.155775,-74.898263,40.155775,-74.898263,40.048711
eae37a5f578d9179,city,US,NJ,Old Bridge,,-74.383156,40.318344,-74.383156,40.450778,-74.246891,40.450778,-74.246891,40.318344
dea1eac2d7ef8878,admin,US,Maryland,,,-79.487651,37.886607,-79.487651,39.723622,-74.986286,39.723622,-74.986286,37.886607
3f5897b87d2bf56c,admin,US,Delaware,,,-75.788756,38.45104,-75.788756,39.839007,-74.984165,39.839007,-74.984165,38.45104
7c3a198212bb6e2a,city,US,DE,Claymont,,-75.487049,39.790276,-75.487049,39.818885,-75.437064,39.818885,-75.437064,39.790276
3e94c70e7a8a35d3,city,US,PA,Reading,,-75.95954,40.29676,-75.95954,40.371477,-75.890503,40.371477,-75.890503,40.29676
51b99055e77ef76b,city,US,DE,Pike Creek,,-75.724736,39.709246,-75.724736,39.764308,-75.674178,39.764308,-75.674178,39.709246
ecc2e1285c7d074f,city,US,NJ,Vineland,,-75.076284,39.401507,-75.076284,39.568715,-74.945245,39.568715,-74.945245,39.401507
78ef2bfb2581e925,city,US,NJ,Laurel Springs,,-75.015046,39.816128,-75.015046,39.826947,-74.994629,39.826947,-74.994629,39.816128
2b622acc57380b8e,city,US,PA,Springfield,,-75.367258,39.886766,-75.367258,39.954944,-75.307729,39.954944,-75.307729,39.886766
07d9e424dbc80001,poi,US,,,Christian Stronghold Baptist Church,-75.215757,39.972043,-75.215757,39.972043,-75.215757,39.972043,-75.215757,39.972043
442f8732107cab6d,city,US,PA,Darby,,-75.275294,39.912157,-75.275294,39.930325,-75.247034,39.930325,-75.247034,39.912157
04d21accfcdbedfe,city,US,NJ,Bellmawr,,-75.120317,39.853394,-75.120317,39.878213,-75.060468,39.878213,-75.060468,39.853394
860637a8dc169e00,city,US,NJ,Marlton,,-74.957163,39.855644,-74.957163,39.919853,-74.862132,39.919853,-74.862132,39.855644
0c2e0be6bed09279,city,US,NJ,Pennsville,,-75.546596,39.613559,-75.546596,39.68565,-75.470419,39.68565,-75.470419,39.613559
1ddebc45361e8bb0,city,US,PA,Penn Wynne,,-75.289252,39.977007,-75.289252,39.995431,-75.253975,39.995431,-75.253975,39.977007
d272f7be7bee16b5,city,US,PA,Pennsburg,,-75.50755,40.383275,-75.50755,40.404326,-75.486468,40.404326,-75.486468,40.383275
ec87e70b7b398729,city,US,PA,Red Hill,,-75.493064,40.365227,-75.493064,40.385855,-75.472045,40.385855,-75.472045,40.365227
45247ced462d714b,city,US,NJ,Clayton,,-75.127848,39.630623,-75.127848,39.684182,-75.066893,39.684182,-75.066893,39.630623
0038762c5f7d772a,city,US,NJ,Jackson,,-74.420548,40.104655,-74.420548,40.161021,-74.342807,40.161021,-74.342807,40.104655
